time,seconds_elapsed,z,y,x
1761818162924365800,0.08136572265625,-0.8331298828125,-0.595458984375,0.097747802734375
1761818162934292700,0.091292724609375,-0.8427886962890625,-0.5952301025390625,0.085601806640625
1761818162944220000,0.101219970703125,-0.85003662109375,-0.5953826904296875,0.069091796875
1761818162954146800,0.111146728515625,-0.846527099609375,-0.5918731689453125,0.047576904296875
1761818162964073700,0.12107373046875,-0.8471832275390625,-0.594146728515625,0.04095458984375
1761818162974000600,0.131000732421875,-0.8355255126953125,-0.5994110107421875,0.0463714599609375
1761818162983928600,0.140928466796875,-0.811798095703125,-0.5992279052734375,0.0504302978515625
1761818162993855700,0.150855712890625,-0.7909088134765625,-0.60235595703125,0.056060791015625
1761818163003782700,0.16078271484375,-0.792694091796875,-0.6101531982421875,0.058380126953125
1761818163013709800,0.170709716796875,-0.8023529052734375,-0.615753173828125,0.0463409423828125
1761818163023636700,0.18063671875,-0.820343017578125,-0.615875244140625,0.03350830078125
1761818163033564000,0.19056396484375,-0.8386077880859375,-0.6119537353515625,0.02813720703125
1761818163043491800,0.200491943359375,-0.844512939453125,-0.604583740234375,0.019683837890625
1761818163053418800,0.210418701171875,-0.853759765625,-0.60577392578125,0.0113677978515625
1761818163063345700,0.220345703125,-0.8725128173828125,-0.6236572265625,0.01385498046875
1761818163073271800,0.230271728515625,-0.8791351318359375,-0.6331024169921875,0.014892578125
1761818163083198700,0.24019873046875,-0.8625335693359375,-0.6288909912109375,0.0135345458984375
1761818163093126000,0.2501259765625,-0.827880859375,-0.6020050048828125,0.0271148681640625
1761818163103053800,0.2600537109375,-0.8180999755859375,-0.6020050048828125,0.037445068359375
1761818163112980700,0.269980712890625,-0.781158447265625,-0.6338043212890625,0.03802490234375
1761818163122908000,0.279907958984375,-0.710418701171875,-0.6213226318359375,0.0368194580078125
1761818163132834800,0.289834716796875,-0.6915740966796875,-0.618743896484375,0.0102081298828125
1761818163142761700,0.29976171875,-0.6892242431640625,-0.6148834228515625,-0.0135955810546875
1761818163152688600,0.309688720703125,-0.7016754150390625,-0.6072235107421875,-0.0219268798828125
1761818163162616800,0.319616943359375,-0.7154541015625,-0.62249755859375,-0.032623291015625
1761818163172543700,0.329543701171875,-0.72735595703125,-0.648590087890625,-0.034912109375
1761818163182471000,0.339470947265625,-0.7446746826171875,-0.6816558837890625,-0.0416259765625
