time,seconds_elapsed,z,y,x
1761818162938013000,0.095012939453125,-0.016848761588335037,-0.654958188533783,0.2277185469865799
1761818162947939800,0.10493994140625,-0.13279268145561218,-0.6806055307388306,0.3317245841026306
1761818162957866800,0.11486669921875,-0.22239945828914642,-0.7227216958999634,0.45265117287635803
1761818162967793700,0.124793701171875,-0.2734277546405792,-0.8204682469367981,0.5261406302452087
1761818162977720800,0.134720947265625,-0.2962302565574646,-0.9066610336303711,0.5487309694290161
1761818162987648800,0.144648681640625,-0.28361058235168457,-0.93879234790802,0.5192822813987732
1761818162997575700,0.15457568359375,-0.24967780709266663,-0.9197376370429993,0.47572532296180725
1761818163007502800,0.1645029296875,-0.2213928997516632,-0.8492631912231445,0.44319188594818115
1761818163017429800,0.1744296875,-0.19989491999149323,-0.7733553647994995,0.44016602635383606
1761818163027357000,0.18435693359375,-0.20452828705310822,-0.7167296409606934,0.4823741912841797
1761818163037283600,0.19428369140625,-0.21779592335224152,-0.6897239685058594,0.5358474850654602
1761818163047211500,0.20421142578125,-0.25215578079223633,-0.7348408699035645,0.6015570163726807
1761818163057138700,0.214138671875,-0.2900067865848541,-0.862838089466095,0.6820974349975586
1761818163067065600,0.224065673828125,-0.34470757842063904,-1.037009835243225,0.7699013352394104
1761818163076991700,0.23399169921875,-0.4076179265975952,-1.1943690776824951,0.8579834699630737
1761818163086919000,0.2439189453125,-0.4394213855266571,-1.3422975540161133,0.9187893271446228
1761818163096845800,0.253845703125,-0.4011852741241455,-1.556060552597046,0.9555240869522095
1761818163106773800,0.263773681640625,-0.3763907253742218,-1.599775791168213,0.9474701285362244
1761818163116701000,0.273700927734375,-0.3558681905269623,-1.429289698600769,0.9008155465126038
1761818163126627600,0.283627685546875,-0.3244311511516571,-1.2006263732910156,0.8025342226028442
1761818163136554800,0.2935546875,-0.28631818294525146,-0.9829711318016052,0.6666104197502136
1761818163146481700,0.303481689453125,-0.2469974160194397,-0.7895942330360413,0.5364266037940979
1761818163156408800,0.313408935546875,-0.17818182706832886,-0.5758043527603149,0.4537562131881714
1761818163166336800,0.323336669921875,-0.07683230191469193,-0.3915104269981384,0.42493709921836853
1761818163176264000,0.333263916015625,0.03367907181382179,-0.2849165201187134,0.43286558985710144
1761818163186190800,0.34319091796875,0.07170182466506958,-0.21744775772094727,0.47051867842674255
1761818163196117800,0.35311767578125,-0.01424601674079895,-0.21240517497062683,0.5547627210617065
1761818163206045000,0.363044921875,-0.0957760289311409,-0.24091243743896484,0.7121941447257996
1761818163215971600,0.3729716796875,-0.1489911675453186,-0.25564607977867126,0.9333102107048035
1761818163225899800,0.382899658203125,-0.18106921017169952,-0.3279373049736023,1.135898232460022
1761818163235826700,0.39282666015625,-0.1422087848186493,-0.45135825872421265,1.2801146507263184
1761818163245753900,0.40275390625,-0.10761485248804092,-0.6885362267494202,1.2983438968658447
1761818163255680800,0.4126806640625,-0.04118119925260544,-0.8633479475975037,1.2439433336257935
1761818163265608000,0.42260791015625,0.03153587877750397,-0.95858234167099,1.1830408573150635
1761818163275534800,0.432534912109375,0.011090810410678387,-0.9982202649116516,1.1094269752502441
1761818163285462800,0.442462890625,0.026516638696193695,-0.9979632496833801,1.0864207744598389
1761818163295390000,0.452389892578125,0.027268284931778908,-1.045088768005371,1.0494203567504883
1761818163305316600,0.462316650390625,0.009316448122262955,-1.0766568183898926,1.0095874071121216
1761818163315243800,0.472243896484375,0.016064733266830444,-0.9498382210731506,0.9644304513931274
