time,seconds_elapsed,z,y,x
1761387709249139200,0.06513916015625,-0.808563232421875,-0.518402099609375,0.094390869140625
1761387709259208400,0.07520849609375,-0.8216094970703125,-0.53082275390625,0.1155242919921875
1761387709269278200,0.0852783203125,-0.8477325439453125,-0.53741455078125,0.1564483642578125
1761387709279347500,0.095347412109375,-0.8534698486328125,-0.535491943359375,0.183441162109375
1761387709289417200,0.105417236328125,-0.8252105712890625,-0.544219970703125,0.172119140625
1761387709299486500,0.115486572265625,-0.8914794921875,-0.536956787109375,0.1813201904296875
1761387709309555200,0.12555517578125,-0.9307708740234375,-0.5064239501953125,0.2055816650390625
1761387709319625500,0.13562548828125,-0.9169769287109375,-0.4831085205078125,0.2035369873046875
1761387709329694200,0.145694091796875,-0.857513427734375,-0.4726104736328125,0.1611785888671875
1761387709339763500,0.155763427734375,-0.802154541015625,-0.4908905029296875,0.1312255859375
1761387709349833200,0.165833251953125,-0.8303680419921875,-0.5148162841796875,0.118011474609375
1761387709359902500,0.17590234375,-0.8116607666015625,-0.5434417724609375,0.135711669921875
1761387709369972200,0.18597216796875,-0.7854766845703125,-0.5673980712890625,0.148956298828125
1761387709380041500,0.19604150390625,-0.7470703125,-0.5710906982421875,0.1431732177734375
1761387709390110200,0.206110107421875,-0.7263641357421875,-0.5591888427734375,0.1429290771484375
1761387709400180200,0.21618017578125,-0.724212646484375,-0.55914306640625,0.1516571044921875
1761387709410249200,0.226249267578125,-0.750152587890625,-0.562408447265625,0.17364501953125
1761387709420319200,0.2363193359375,-0.795440673828125,-0.5849456787109375,0.2042694091796875
1761387709430388200,0.24638818359375,-0.9592437744140625,-0.6273040771484375,0.2229156494140625
1761387709440457500,0.25645751953125,-1.0473175048828125,-0.562957763671875,0.270172119140625
1761387709450527500,0.266527587890625,-0.85052490234375,-0.4543304443359375,0.3258056640625
1761387709460596200,0.27659619140625,-0.780792236328125,-0.5053253173828125,0.30206298828125
1761387709470666500,0.28666650390625,-0.8150634765625,-0.6370086669921875,0.2339019775390625
1761387709480735200,0.2967353515625,-0.82220458984375,-0.699554443359375,0.2235107421875
1761387709490804500,0.306804443359375,-0.8336181640625,-0.7085723876953125,0.253509521484375
1761387709500874200,0.316874267578125,-0.8788604736328125,-0.6996307373046875,0.285369873046875
1761387709510943500,0.326943603515625,-0.82208251953125,-0.698699951171875,0.28338623046875
1761387709521012200,0.33701220703125,-0.790191650390625,-0.591094970703125,0.2940216064453125
1761387709531082500,0.34708251953125,-0.7528839111328125,-0.5442657470703125,0.2581634521484375
1761387709541151200,0.357151123046875,-0.7884674072265625,-0.5882720947265625,0.18524169921875
1761387709551221200,0.36722119140625,-0.802215576171875,-0.626129150390625,0.155181884765625
1761387709561290200,0.377290283203125,-0.77093505859375,-0.6710205078125,0.1676025390625
1761387709571359500,0.387359375,-0.7483062744140625,-0.7201385498046875,0.1392059326171875
1761387709581429200,0.39742919921875,-0.7595367431640625,-0.72174072265625,0.139129638671875
1761387709591498500,0.40749853515625,-0.7956085205078125,-0.7260894775390625,0.1302032470703125
1761387709601567200,0.417567138671875,-0.80859375,-0.714202880859375,0.1124114990234375
1761387709611637200,0.42763720703125,-0.81976318359375,-0.6952972412109375,0.098052978515625
1761387709621706200,0.437706298828125,-0.84405517578125,-0.67388916015625,0.08770751953125
1761387709631776300,0.4477763671875,-0.8787384033203125,-0.64404296875,0.06451416015625
1761387709641845200,0.45784521484375,-0.940338134765625,-0.6372833251953125,0.022735595703125
1761387709651914200,0.467914306640625,-0.9581298828125,-0.6927947998046875,-0.00408935546875
1761387709661984500,0.477984619140625,-0.8995361328125,-0.7468414306640625,0.0462188720703125
1761387709672053200,0.48805322265625,-0.8411102294921875,-0.7686767578125,0.0444488525390625
1761387709682123500,0.49812353515625,-0.854278564453125,-0.738433837890625,-0.0380096435546875
1761387709692192300,0.508192138671875,-0.8627777099609375,-0.65948486328125,-0.171905517578125
1761387709702261200,0.51826123046875,-0.840484619140625,-0.6361846923828125,-0.28363037109375
1761387709712331300,0.528331298828125,-0.782958984375,-0.6783599853515625,-0.3525238037109375
1761387709722400500,0.538400390625,-0.734283447265625,-0.7050933837890625,-0.3895263671875
1761387709732470300,0.54847021484375,-0.704681396484375,-0.6973724365234375,-0.4207000732421875
1761387709742539500,0.55853955078125,-0.6756591796875,-0.684112548828125,-0.440582275390625
1761387709752608300,0.568608154296875,-0.6456298828125,-0.71514892578125,-0.4288787841796875
1761387709762678300,0.57867822265625,-0.61883544921875,-0.7481689453125,-0.3868560791015625
1761387709772747300,0.588747314453125,-0.59735107421875,-0.764923095703125,-0.3362579345703125
1761387709782816500,0.59881640625,-0.5914306640625,-0.762237548828125,-0.2852325439453125
1761387709792886300,0.60888623046875,-0.57513427734375,-0.7623291015625,-0.232513427734375
1761387709802955300,0.618955322265625,-0.5456085205078125,-0.7635498046875,-0.1856689453125
1761387709813025300,0.629025390625,-0.523529052734375,-0.760009765625,-0.1577606201171875
1761387709823094300,0.63909423828125,-0.5052337646484375,-0.7372283935546875,-0.133331298828125
1761387709833163300,0.649163330078125,-0.46875,-0.7136993408203125,-0.107757568359375
1761387709843233300,0.6592333984375,-0.4385223388671875,-0.7023162841796875,-0.0838775634765625
1761387709853302300,0.66930224609375,-0.4462890625,-0.7069244384765625,-0.06280517578125
1761387709863372300,0.679372314453125,-0.4769287109375,-0.69329833984375,-0.0538787841796875
1761387709873441300,0.689441162109375,-0.5068817138671875,-0.6824798583984375,-0.0543975830078125
1761387709883510300,0.69951025390625,-0.5450286865234375,-0.6750640869140625,-0.0604248046875
1761387709893580500,0.70958056640625,-0.5909576416015625,-0.66717529296875,-0.0619659423828125
1761387709903649300,0.719649169921875,-0.614105224609375,-0.6739044189453125,-0.0549163818359375
1761387709913718300,0.72971826171875,-0.6242523193359375,-0.6942138671875,-0.0392913818359375
1761387709923788300,0.739788330078125,-0.6201629638671875,-0.709930419921875,-0.034393310546875
1761387709933857500,0.749857421875,-0.620758056640625,-0.7131805419921875,-0.0411529541015625
1761387709943927300,0.75992724609375,-0.62493896484375,-0.7294158935546875,-0.0646820068359375
1761387709953996500,0.76999658203125,-0.6379241943359375,-0.740020751953125,-0.1011199951171875
1761387709964065300,0.780065185546875,-0.6598358154296875,-0.7333831787109375,-0.1360931396484375
1761387709974135300,0.79013525390625,-0.6692352294921875,-0.7397918701171875,-0.167694091796875
1761387709984204300,0.800204345703125,-0.65155029296875,-0.7475128173828125,-0.1863250732421875
1761387709994274300,0.8102744140625,-0.6144866943359375,-0.757232666015625,-0.2031402587890625
1761387710004343300,0.82034326171875,-0.5694732666015625,-0.7599029541015625,-0.218475341796875
1761387710014412300,0.830412353515625,-0.51422119140625,-0.7121429443359375,-0.2316131591796875
1761387710024482300,0.840482421875,-0.5169219970703125,-0.7957916259765625,-0.1986846923828125
1761387710034551300,0.85055126953125,-0.48223876953125,-0.862884521484375,-0.1769866943359375
1761387710044620300,0.860620361328125,-0.486419677734375,-0.8450775146484375,-0.143310546875
1761387710054690300,0.870690185546875,-0.4807891845703125,-0.8642730712890625,-0.102203369140625
1761387710064759300,0.88075927734375,-0.4830322265625,-0.90228271484375,-0.053955078125
1761387710074829300,0.890829345703125,-0.4755706787109375,-0.8984527587890625,-0.01885986328125
1761387710084899000,0.900899169921875,-0.451995849609375,-0.879730224609375,0.0083770751953125
1761387710094968000,0.910968017578125,-0.421234130859375,-0.87774658203125,0.048858642578125
1761387710105037800,0.921037841796875,-0.391082763671875,-0.882904052734375,0.089569091796875
1761387710115107000,0.931107177734375,-0.374755859375,-0.8831787109375,0.112152099609375
1761387710125177000,0.941177001953125,-0.39166259765625,-0.8790283203125,0.100982666015625
1761387710135246000,0.95124609375,-0.4390411376953125,-0.861083984375,0.0780792236328125
1761387710145314800,0.961314697265625,-0.4784393310546875,-0.821014404296875,0.062957763671875
1761387710155385000,0.971385009765625,-0.5055084228515625,-0.80181884765625,0.051361083984375
1761387710165454000,0.9814541015625,-0.53497314453125,-0.7872467041015625,0.0396881103515625
1761387710175524000,0.991524169921875,-0.5646514892578125,-0.773651123046875,0.02984619140625
1761387710185593000,1.001593017578125,-0.58270263671875,-0.7669677734375,0.025115966796875
1761387710195662000,1.011662109375,-0.5947723388671875,-0.76861572265625,0.01727294921875
1761387710205732000,1.021732177734375,-0.6061859130859375,-0.7810211181640625,0.0026092529296875
1761387710215801000,1.031801025390625,-0.608673095703125,-0.7961578369140625,-0.0142974853515625
1761387710225870000,1.0418701171875,-0.6010894775390625,-0.8011474609375,-0.0305023193359375
1761387710235940000,1.051940185546875,-0.584503173828125,-0.810699462890625,-0.05389404296875
1761387710246009000,1.062009033203125,-0.573638916015625,-0.814208984375,-0.0820159912109375
1761387710256078800,1.072078857421875,-0.5597076416015625,-0.81781005859375,-0.111419677734375
1761387710266148000,1.082148193359375,-0.54693603515625,-0.82733154296875,-0.138519287109375
1761387710276217000,1.092217041015625,-0.5470428466796875,-0.8344879150390625,-0.16424560546875
1761387710286287000,1.102287109375,-0.55462646484375,-0.837615966796875,-0.1874542236328125
1761387710296355800,1.11235595703125,-0.567352294921875,-0.8348846435546875,-0.2064056396484375
1761387710306426000,1.122426025390625,-0.5704803466796875,-0.828369140625,-0.22314453125
1761387710316494800,1.132494873046875,-0.5717926025390625,-0.8293914794921875,-0.2379913330078125
1761387710326564000,1.142564208984375,-0.577178955078125,-0.8342437744140625,-0.2515869140625
1761387710336633900,1.1526337890625,-0.5892486572265625,-0.8372039794921875,-0.2660064697265625
1761387710346703000,1.162703125,-0.5941314697265625,-0.834075927734375,-0.27667236328125
1761387710356773000,1.172773193359375,-0.5941009521484375,-0.8311920166015625,-0.286285400390625
1761387710366842000,1.182842041015625,-0.5926513671875,-0.8249359130859375,-0.290618896484375
